Date,EquipmentID,TotalPartsProduced,GoodPartsProduced,DowntimeHours,OperatingHours,IdealCycleTime_s
2024-01-01,EX001,676,648,0.0,24.0,118
2024-01-01,DT001,744,730,0.0,24.0,110
2024-01-01,CR001,671,637,0.0,24.0,119
2024-01-01,CV001,742,733,0.0,24.0,110
2024-01-01,DR001,701,677,0.0,24.0,113
2024-01-01,WL001,634,626,0.0,24.0,130
2024-01-02,EX001,724,696,0.0,24.0,113
2024-01-02,DT001,0,0,44.71,0.0,119
2024-01-02,CR001,687,667,0.0,24.0,115
2024-01-02,CV001,699,692,0.0,24.0,120
2024-01-02,DR001,676,649,0.0,24.0,116
2024-01-02,WL001,673,664,0.0,24.0,125
2024-01-03,EX001,694,667,0.0,24.0,117
2024-01-03,DT001,711,687,0.0,24.0,117
2024-01-03,CR001,666,643,0.0,24.0,119
2024-01-03,CV001,679,645,0.0,24.0,123
2024-01-03,DR001,551,540,4.54,19.46,118
2024-01-03,WL001,659,647,0.0,24.0,128
2024-01-04,EX001,664,639,0.0,24.0,123
2024-01-04,DT001,676,649,0.0,24.0,125
2024-01-04,CR001,696,686,0.0,24.0,118
2024-01-04,CV001,702,672,0.0,24.0,116
2024-01-04,DR001,613,596,2.13,21.87,120
2024-01-04,WL001,636,622,0.0,24.0,127
2024-01-05,EX001,683,671,0.0,24.0,116
2024-01-05,DT001,684,668,0.0,24.0,116
2024-01-05,CR001,17,16,23.43,0.57,111
2024-01-05,CV001,685,681,0.0,24.0,119
2024-01-05,DR001,679,666,0.0,24.0,124
2024-01-05,WL001,653,630,0.0,24.0,121
2024-01-06,EX001,644,630,0.0,24.0,121
2024-01-06,DT001,736,707,0.0,24.0,110
2024-01-06,CR001,622,593,0.0,24.0,128
2024-01-06,CV001,657,647,0.0,24.0,128
2024-01-06,DR001,0,0,28.3,0.0,125
2024-01-06,WL001,651,633,0.0,24.0,121
2024-01-07,EX001,606,586,0.0,24.0,129
2024-01-07,DT001,652,639,0.0,24.0,123
2024-01-07,CR001,683,669,0.0,24.0,119
2024-01-07,CV001,551,527,3.93,20.07,120
2024-01-07,DR001,676,658,0.0,24.0,124
2024-01-07,WL001,716,693,0.0,24.0,115
2024-01-08,EX001,656,650,0.0,24.0,126
2024-01-08,DT001,704,674,0.0,24.0,118
2024-01-08,CR001,684,651,0.0,24.0,117
2024-01-08,CV001,670,661,0.0,24.0,124
2024-01-08,DR001,654,636,0.0,24.0,123
2024-01-08,WL001,678,657,0.0,24.0,121
2024-01-09,EX001,614,600,0.0,24.0,127
2024-01-09,DT001,709,690,0.0,24.0,115
2024-01-09,CR001,706,679,0.0,24.0,115
2024-01-09,CV001,661,656,0.0,24.0,120
2024-01-09,DR001,598,592,4.53,19.47,114
2024-01-09,WL001,704,700,0.0,24.0,112
2024-01-10,EX001,743,706,0.0,24.0,113
2024-01-10,DT001,702,677,0.0,24.0,120
2024-01-10,CR001,710,678,0.0,24.0,118
2024-01-10,CV001,724,697,0.0,24.0,113
2024-01-10,DR001,659,647,0.0,24.0,128
2024-01-10,WL001,635,612,0.0,24.0,124
2024-01-11,EX001,676,663,0.0,24.0,119
2024-01-11,DT001,477,468,7.53,16.47,120
2024-01-11,CR001,665,649,0.0,24.0,118
2024-01-11,CV001,678,669,0.0,24.0,115
2024-01-11,DR001,665,644,0.0,24.0,122
2024-01-11,WL001,620,613,0.0,24.0,129
2024-01-12,EX001,446,426,7.66,16.34,127
2024-01-12,DT001,660,634,0.0,24.0,122
2024-01-12,CR001,614,602,0.0,24.0,130
2024-01-12,CV001,651,637,0.0,24.0,122
2024-01-12,DR001,664,654,0.0,24.0,127
2024-01-12,WL001,701,677,0.0,24.0,119
2024-01-13,EX001,673,640,0.0,24.0,122
2024-01-13,DT001,707,698,0.0,24.0,116
2024-01-13,CR001,662,643,0.0,24.0,119
2024-01-13,CV001,692,678,0.0,24.0,121
2024-01-13,DR001,424,420,7.98,16.02,125
2024-01-13,WL001,751,728,0.0,24.0,112
2024-01-14,EX001,637,611,0.0,24.0,130
2024-01-14,DT001,685,670,0.0,24.0,114
2024-01-14,CR001,671,650,0.0,24.0,122
2024-01-14,CV001,651,620,0.0,24.0,124
2024-01-14,DR001,622,599,0.0,24.0,130
2024-01-14,WL001,634,603,0.0,24.0,126
2024-01-15,EX001,717,711,0.0,24.0,111
2024-01-15,DT001,634,609,0.0,24.0,126
2024-01-15,CR001,705,681,0.0,24.0,113
2024-01-15,CV001,634,630,0.0,24.0,129
2024-01-15,DR001,717,693,0.0,24.0,117
2024-01-15,WL001,6,5,23.75,0.25,124
2024-01-16,EX001,622,601,0.0,24.0,125
2024-01-16,DT001,630,598,0.0,24.0,129
2024-01-16,CR001,474,464,5.85,18.15,130
2024-01-16,CV001,634,617,0.0,24.0,130
2024-01-16,DR001,681,663,0.0,24.0,118
2024-01-16,WL001,676,655,0.0,24.0,115
2024-01-17,EX001,686,659,0.0,24.0,123
2024-01-17,DT001,642,625,0.0,24.0,128
2024-01-17,CR001,703,678,0.0,24.0,113
2024-01-17,CV001,641,637,0.0,24.0,124
2024-01-17,DR001,679,654,0.0,24.0,117
2024-01-17,WL001,496,492,6.55,17.45,119
2024-01-18,EX001,634,605,0.0,24.0,128
2024-01-18,DT001,695,679,0.0,24.0,120
2024-01-18,CR001,663,657,0.0,24.0,121
2024-01-18,CV001,0,0,43.95,0.0,128
2024-01-18,DR001,636,607,0.0,24.0,123
2024-01-18,WL001,750,738,0.0,24.0,111
2024-01-19,EX001,488,473,5.69,18.31,127
2024-01-19,DT001,626,619,0.0,24.0,126
2024-01-19,CR001,742,714,0.0,24.0,110
2024-01-19,CV001,636,618,0.0,24.0,127
2024-01-19,DR001,677,656,0.0,24.0,117
2024-01-19,WL001,733,727,0.0,24.0,113
2024-01-20,EX001,693,686,0.0,24.0,118
2024-01-20,DT001,675,658,0.0,24.0,117
2024-01-20,CR001,0,0,39.69,0.0,118
2024-01-20,CV001,683,669,0.0,24.0,120
2024-01-20,DR001,659,647,0.0,24.0,126
2024-01-20,WL001,649,625,0.0,24.0,124
2024-01-21,EX001,722,697,0.0,24.0,111
2024-01-21,DT001,635,611,0.0,24.0,124
2024-01-21,CR001,654,645,0.0,24.0,119
2024-01-21,CV001,623,592,0.0,24.0,126
2024-01-21,DR001,712,689,0.0,24.0,118
2024-01-21,WL001,659,637,0.0,24.0,126
2024-01-22,EX001,728,695,0.0,24.0,111
2024-01-22,DT001,646,640,0.0,24.0,126
2024-01-22,CR001,669,657,0.0,24.0,119
2024-01-22,CV001,0,0,41.93,0.0,116
2024-01-22,DR001,681,662,0.0,24.0,120
2024-01-22,WL001,652,621,0.0,24.0,120
2024-01-23,EX001,699,672,0.0,24.0,115
2024-01-23,DT001,638,632,0.0,24.0,125
2024-01-23,CR001,713,677,0.0,24.0,112
2024-01-23,CV001,693,682,0.0,24.0,117
2024-01-23,DR001,634,624,0.0,24.0,125
2024-01-23,WL001,697,673,0.0,24.0,115
2024-01-24,EX001,677,661,0.0,24.0,116
2024-01-24,DT001,746,709,0.0,24.0,110
2024-01-24,CR001,726,697,0.0,24.0,111
2024-01-24,CV001,602,586,0.0,24.0,130
2024-01-24,DR001,709,695,0.0,24.0,112
2024-01-24,WL001,698,687,0.0,24.0,118
2024-01-25,EX001,622,607,0.0,24.0,129
2024-01-25,DT001,650,639,0.0,24.0,122
2024-01-25,CR001,692,659,0.0,24.0,119
2024-01-25,CV001,657,643,0.0,24.0,121
2024-01-25,DR001,617,599,0.0,24.0,129
2024-01-25,WL001,659,647,0.0,24.0,120
2024-01-26,EX001,608,581,0.0,24.0,129
2024-01-26,DT001,657,642,0.0,24.0,123
2024-01-26,CR001,707,691,0.0,24.0,112
